

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.127  000.118: event init
000.306  000.179: early init
000.820  000.514: locale set
000.877  000.057: init first window
013.083  012.206: inits 1
013.102  000.019: window checked
013.111  000.009: parsing arguments
013.652  000.084  000.084: require('vim.shared')
013.774  000.047  000.047: require('vim._meta')
013.776  000.120  000.073: require('vim._editor')
013.778  000.252  000.048: require('vim._init_packages')
013.780  000.417: init lua interpreter
014.154  000.374: expanding arguments
014.260  000.107: inits 2
014.559  000.299: init highlight
014.561  000.002: waiting for UI
017.671  003.110: done waiting for UI
017.691  000.020: init screen for UI
017.875  000.184: init default mappings
017.896  000.021: init default autocommands
020.936  000.099  000.099: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/ftplugin.vim
021.422  000.043  000.043: sourcing /usr/local/Cellar/neovim/0.8.2/share/nvim/runtime/indent.vim
024.750  000.852  000.852: require('packer.util')
024.833  002.653  001.801: require('packer')
025.825  000.989  000.989: require('packer.log')
027.235  000.578  000.578: require('packer.async')
028.352  000.494  000.494: require('packer.result')
028.357  001.118  000.624: require('packer.jobs')
028.364  002.483  000.787: require('packer.plugin_utils')
029.020  000.614  000.614: require('packer.snapshot')
032.454  000.501  000.501: require('onedark')
034.845  000.470  000.470: require('onedark.palette')
034.872  000.888  000.418: require('onedark.colors')
035.306  000.427  000.427: require('onedark.util')
035.478  002.526  001.211: require('onedark.highlights')
038.268  000.615  000.615: require('onedark.terminal')
038.286  006.397  002.754: sourcing /Users/dblanken/.local/share/nvim/site/pack/packer/start/onedark.nvim/colors/onedark.lua
038.353  000.040  000.040: require('vim.keymap')
039.679  000.362  000.362: require('lualine_require')
040.038  001.590  001.228: require('lualine')
045.478  000.328  000.328: require('lualine.utils.mode')
045.902  000.270  000.270: require('Comment')
046.100  000.195  000.195: require('Comment.config')
047.194  000.456  000.456: require('Comment.ft')
047.202  000.856  000.400: require('Comment.utils')
047.498  000.295  000.295: require('Comment.opfunc')
047.729  000.228  000.228: require('Comment.extra')
047.733  001.630  000.250: require('Comment.api')
048.980  000.437  000.437: require('indent_blankline/utils')
048.983  001.139  000.702: require('indent_blankline')
049.894  000.329  000.329: require('gitsigns.async')
050.128  000.232  000.232: require('gitsigns.status')
051.059  000.282  000.282: require('gitsigns.debug')
051.361  000.300  000.300: require('gitsigns.util')
051.843  000.232  000.232: require('gitsigns.uv')
051.847  000.483  000.251: require('gitsigns.subprocess')
053.035  000.200  000.200: require('gitsigns.message')
053.043  000.603  000.403: require('gitsigns.config')
053.233  000.188  000.188: require('gitsigns.signs.base')
053.236  001.005  000.214: require('gitsigns.signs')
053.240  001.392  000.387: require('gitsigns.hunks')
053.247  003.116  000.660: require('gitsigns.git')
053.950  000.229  000.229: require('gitsigns.cache')
054.170  000.217  000.217: require('gitsigns.debounce')
054.368  000.195  000.195: require('gitsigns.diff')
054.387  001.138  000.498: require('gitsigns.manager')
054.674  000.285  000.285: require('gitsigns.highlight')
054.682  005.659  000.558: require('gitsigns')
055.858  000.300  000.300: require('gitsigns.signs.vimfn')
056.897  000.032  000.032: require('vim.inspect')
057.975  000.447  000.447: require('telescope._extensions')
057.978  000.941  000.493: require('telescope')
060.518  000.546  000.546: require('plenary.bit')
060.950  000.429  000.429: require('plenary.functional')
060.979  000.018  000.018: require('ffi')
060.997  001.885  000.892: require('plenary.path')
061.004  002.394  000.509: require('plenary.strings')
061.424  000.419  000.419: require('telescope.deprecated')
063.200  000.611  000.611: require('plenary.log')
063.272  001.094  000.483: require('telescope.log')
064.730  000.729  000.729: require('plenary.job')
065.162  000.429  000.429: require('telescope.state')
065.170  001.896  000.738: require('telescope.utils')
065.178  003.715  000.725: require('telescope.sorters')
065.744  000.007  000.007: require('vim.F')
067.415  009.435  002.899: require('telescope.config')
073.134  000.409  000.409: require('plenary.tbl')
073.139  000.902  000.493: require('plenary.vararg.rotate')
073.140  001.283  000.380: require('plenary.vararg')
073.547  000.406  000.406: require('plenary.errors')
073.557  002.172  000.483: require('plenary.async.async')
074.028  000.470  000.470: require('plenary.async.structs')
074.045  003.167  000.525: require('plenary.async.control')
076.538  000.549  000.549: require('plenary.window.border')
076.969  000.429  000.429: require('plenary.window')
077.379  000.407  000.407: require('plenary.popup.utils')
077.382  002.005  000.620: require('plenary.popup')
077.854  000.470  000.470: require('telescope.pickers.scroller')
078.269  000.412  000.412: require('telescope.actions.state')
078.730  000.459  000.459: require('telescope.actions.utils')
079.708  000.489  000.489: require('telescope.actions.mt')
079.719  000.987  000.498: require('telescope.actions.set')
